order_item_id,order_id,product_id,quantity,unit_price
1,1,40,2,286.23
2,1,184,2,45.47
3,1,171,3,463.0
4,1,176,4,292.66
5,1,162,1,476.08
6,2,47,3,582.59
7,2,159,1,202.82
8,2,87,4,219.31
9,2,55,2,83.86
10,3,63,5,159.4
11,3,18,1,77.43
12,3,166,3,96.22
13,3,30,4,320.37
14,4,71,4,266.04
15,4,27,3,341.09
16,4,61,2,100.74
17,4,2,5,95.38
18,5,198,5,223.99
19,5,32,3,200.04
20,5,168,2,93.42
21,6,169,1,256.85
22,7,199,2,308.38
23,7,99,4,78.89
24,8,131,3,293.36
25,9,59,3,421.7
26,9,147,4,436.62
27,9,185,1,487.43
28,9,122,3,130.41
29,10,122,3,130.41
30,10,12,3,357.17
31,10,93,5,113.11
32,11,45,1,68.19
33,12,23,3,81.81
34,12,110,1,132.92
35,12,185,1,487.43
36,13,197,3,56.22
37,13,173,1,75.55
38,13,88,5,384.78
39,13,85,1,64.37
40,13,110,5,132.92
41,14,152,5,245.22
42,14,55,4,83.86
43,14,83,3,14.89
44,14,116,2,338.18
45,15,123,1,330.49
46,16,5,2,111.66
47,16,65,4,43.46
48,17,171,1,463.0
49,17,4,5,200.28
50,18,25,1,108.42
51,18,35,2,330.21
52,18,187,3,324.95
53,18,170,1,82.84
54,19,147,4,436.62
55,19,63,5,159.4
56,20,119,4,307.6
57,20,137,4,219.02
58,20,146,1,349.99
59,20,166,5,96.22
60,21,122,4,130.41
61,21,56,4,120.51
62,21,19,2,375.18
63,21,43,1,48.94
64,21,110,5,132.92
65,22,34,4,246.77
66,22,113,1,124.73
67,23,87,5,219.31
68,23,179,5,220.51
69,23,148,4,370.9
70,23,136,5,343.91
71,24,91,5,488.53
72,24,61,3,100.74
73,24,164,2,237.67
74,24,54,1,35.45
75,25,24,3,142.48
76,25,162,2,476.08
77,25,198,1,223.99
78,25,98,5,254.14
79,25,85,5,64.37
80,26,47,2,582.59
81,26,60,1,43.15
82,26,32,2,200.04
83,27,151,1,61.37
84,28,7,4,118.44
85,28,199,4,308.38
86,28,90,3,343.43
87,29,145,3,408.11
88,29,164,4,237.67
89,29,117,1,119.68
90,30,1,2,215.01
91,31,144,3,563.42
92,31,119,5,307.6
93,31,102,4,508.02
94,31,79,4,215.46
95,32,77,4,252.54
96,32,147,3,436.62
97,32,115,1,173.98
98,32,152,4,245.22
99,33,99,4,78.89
100,33,89,1,331.45
101,34,85,4,64.37
102,34,9,2,131.35
103,34,6,3,307.71
104,35,179,2,220.51
105,35,57,1,73.15
106,35,121,5,28.94
107,36,70,2,520.18
108,36,145,4,408.11
109,36,110,4,132.92
110,36,158,1,298.57
111,37,163,5,314.36
112,38,36,4,205.7
113,38,146,2,349.99
114,38,179,3,220.51
115,39,13,3,40.16
116,39,178,5,349.05
117,40,185,3,487.43
118,40,3,1,404.88
119,40,46,2,164.14
120,40,95,5,49.93
121,41,119,2,307.6
122,41,106,4,535.88
123,42,61,5,100.74
124,42,21,3,79.04
125,42,81,5,112.67
126,43,144,4,563.42
127,43,146,3,349.99
128,43,196,3,271.04
129,43,86,4,384.29
130,43,157,4,440.66
131,44,77,3,252.54
132,44,85,3,64.37
133,45,79,3,215.46
134,45,182,1,395.98
135,46,157,5,440.66
136,46,32,5,200.04
137,46,102,5,508.02
138,47,193,2,27.92
139,47,156,3,296.28
140,48,149,2,100.68
141,48,116,5,338.18
142,48,73,3,286.55
143,49,68,5,516.71
144,49,5,2,111.66
145,49,135,2,55.71
146,49,195,2,208.26
147,50,152,3,245.22
148,51,108,2,352.85
149,51,33,5,331.9
150,51,155,5,476.8
151,51,186,5,192.91
152,51,123,5,330.49
153,52,26,1,58.7
154,52,64,1,472.34
155,52,41,5,547.72
156,53,34,1,246.77
157,53,16,4,502.0
158,53,177,1,41.89
159,53,45,4,68.19
160,54,78,2,197.89
161,54,133,3,68.09
162,54,90,4,343.43
163,55,87,2,219.31
164,55,121,2,28.94
165,55,150,1,106.35
166,56,3,3,404.88
167,56,11,3,430.48
168,57,111,5,135.65
169,57,78,2,197.89
170,57,98,5,254.14
171,57,17,1,150.79
172,57,38,1,361.94
173,58,189,1,272.36
174,58,92,2,145.31
175,59,53,4,145.79
176,60,101,5,148.93
177,60,92,4,145.31
178,60,136,2,343.91
179,61,150,4,106.35
180,61,87,1,219.31
181,61,161,5,421.14
182,62,21,1,79.04
183,62,147,3,436.62
184,62,157,3,440.66
185,62,56,5,120.51
186,63,49,3,215.8
187,63,67,4,86.14
188,63,179,4,220.51
189,64,22,2,399.25
190,64,19,5,375.18
191,65,95,2,49.93
192,65,13,4,40.16
193,65,53,2,145.79
194,65,76,2,30.1
195,65,47,1,582.59
196,66,50,4,90.51
197,66,80,3,361.56
198,67,68,2,516.71
199,67,105,1,535.75
200,68,78,2,197.89
201,69,183,4,163.37
202,69,149,5,100.68
203,69,107,1,293.81
204,69,130,1,217.69
205,70,167,3,178.64
206,70,81,4,112.67
207,70,182,5,395.98
208,70,37,1,538.33
209,70,146,2,349.99
210,71,166,4,96.22
211,72,74,2,38.04
212,72,17,1,150.79
